id,name,category,old_type,total_change,gain_at_peak,drawdown,retrace,peak_pos,volatility,momentum,linearity,cluster
207,其他家用紡織品(窗簾布、椅墊、桌巾等),居住類,normal,12.92,12.92,0.0,0.0,1.0,1.44,1.35,0.902,0
208,沙發,居住類,hot,16.06,16.06,0.0,0.0,1.0,1.49,1.34,0.759,0
209,櫥櫃,居住類,hot,16.94,17.21,0.23,0.015,0.95,1.12,0.46,0.939,0
210,床(床墊),居住類,hot,26.88,26.88,0.0,0.0,1.0,1.37,0.64,0.917,0
211,桌椅,居住類,hot,20.28,20.28,0.0,0.0,1.0,1.37,0.75,0.909,0
212,家用裝飾品,居住類,normal,2.06,2.06,0.0,0.0,1.0,1.28,0.33,0.721,0
213,其他家具(梳粧台、嬰兒床、整理箱等),居住類,normal,13.89,13.89,0.0,0.0,1.0,1.33,2.87,0.943,0
214,冷暖氣設備,居住類,falling,-11.63,1.36,12.82,1.5,0.142,1.44,-1.57,0.89,4
215,空氣淨化及除濕設備,居住類,falling,-3.19,3.18,6.17,1.5,0.258,1.87,-2.0,0.281,4
216,洗衣及乾衣設備,居住類,normal,1.84,3.28,1.4,0.439,0.233,1.02,0.28,0.039,3
217,電冰箱,居住類,falling,-11.3,1.47,12.58,1.5,0.267,1.65,-1.27,0.905,4
218,電扇,居住類,normal,12.22,12.22,0.0,0.0,1.0,1.71,0.16,0.941,0
219,熱水器,居住類,normal,9.08,9.69,0.55,0.063,0.908,2.3,-0.51,0.784,0
220,烹飪小家電,居住類,falling,-0.37,1.69,2.03,1.22,0.6,1.43,-1.59,0.451,4
221,瓦斯爐、排油煙機,居住類,hot,17.61,18.07,0.39,0.026,0.908,1.46,-0.39,0.888,0
222,飲用水設備,居住類,falling,-1.49,2.01,3.43,1.5,0.175,1.43,-1.61,0.072,4
223,其他家庭耐久設備(熨斗、烘(洗)碗機等),居住類,normal,2.69,3.1,0.4,0.132,0.333,1.24,0.64,0.077,3
224,餐具,居住類,normal,12.63,12.75,0.1,0.009,0.992,1.4,1.88,0.862,0
225,鍋具,居住類,hot,15.55,18.42,2.42,0.156,0.867,2.04,-1.62,0.851,0
226,茶具,居住類,normal,13.16,13.16,0.0,0.0,1.0,1.3,2.04,0.588,0
227,照明燈管及燈泡,居住類,falling,-6.74,0.0,6.74,0.0,0.0,2.98,-2.49,0.0,3
228,燈具、燈飾,居住類,normal,1.63,2.38,0.73,0.314,0.225,1.01,-0.35,0.104,3
229,衣服清潔劑,居住類,normal,11.8,12.31,0.46,0.042,0.967,1.72,-0.03,0.865,0
230,廚廁清潔劑,居住類,normal,4.26,4.26,0.0,0.0,1.0,1.87,0.64,0.491,0
231,清潔用具,居住類,normal,8.69,8.69,0.0,0.0,1.0,1.34,2.02,0.911,0
232,其他家用品(保鮮膜、菜刀、殺蟲劑等),居住類,hot,17.62,18.29,0.56,0.036,0.892,1.25,-0.52,0.916,0
233,家事服務費,居住類,hot,34.38,34.38,0.0,0.0,1.0,4.46,4.36,0.855,2
234,住宅管理費,居住類,hot,15.0,15.0,0.0,0.0,1.0,0.84,5.05,0.819,0
235,其他家庭管理費用(洗水塔、家電維修費、開(配)鎖費等),居住類,hot,29.46,29.46,0.0,0.0,1.0,1.03,4.29,0.889,0
236,天然瓦斯,居住類,falling,-12.08,14.03,22.9,1.5,0.317,4.38,0.51,0.42,4
237,桶裝瓦斯,居住類,normal,5.13,15.2,8.74,0.662,0.233,5.26,6.77,0.092,3
238,家庭用水,居住類,normal,9.53,9.53,0.0,0.0,1.0,0.9,0.43,0.895,0
239,家庭用電,居住類,normal,4.32,4.32,0.0,0.0,1.0,9.54,3.91,0.409,0
240,垃圾清潔費,居住類,falling,-0.9,0.0,0.9,0.0,0.0,0.14,-0.12,0.683,3
241,汽車,交通及通訊類,falling,-0.09,3.47,3.44,1.027,0.742,0.93,-2.46,0.39,4
242,機車,交通及通訊類,falling,-1.26,0.99,2.22,1.5,0.7,0.77,-1.46,0.237,4
243,自行車,交通及通訊類,hot,20.71,20.71,0.0,0.0,1.0,0.93,1.28,0.933,0
244,行動電話,交通及通訊類,falling,-47.85,0.0,47.85,0.0,0.0,2.05,-7.53,0.97,3
245,其他通訊設備(電話機、傳真機等),交通及通訊類,normal,4.63,6.34,1.6,0.269,0.783,1.0,-0.92,0.672,0
246,無鉛汽油(92),交通及通訊類,hot,29.43,34.91,4.06,0.157,0.8,7.69,-0.63,0.488,0
247,無鉛汽油(95),交通及通訊類,hot,27.63,32.75,3.86,0.156,0.8,7.24,-0.58,0.492,0
248,無鉛汽油(98),交通及通訊類,hot,25.37,30.09,3.63,0.157,0.8,6.75,-0.55,0.497,0
249,柴油及車用電能,交通及通訊類,seasonal,91.1,91.1,0.0,0.0,1.0,8.87,5.09,0.767,2
250,其他油料(潤滑油、機油等),交通及通訊類,normal,11.88,11.88,0.0,0.0,1.0,1.1,0.47,0.779,0
251,公共汽車票,交通及通訊類,falling,-9.12,0.0,9.12,0.0,0.0,1.47,0.39,0.641,3
252,客運汽車票,交通及通訊類,normal,13.26,18.54,4.46,0.285,0.7,2.96,0.44,0.151,3
253,計程車資,交通及通訊類,hot,19.78,20.08,0.25,0.015,0.858,2.05,0.09,0.905,0
254,火車票,交通及通訊類,normal,8.92,8.92,0.0,0.0,1.0,1.47,9.07,0.299,0
255,捷運車票,交通及通訊類,falling,-5.08,0.0,5.08,0.0,0.0,1.82,1.78,0.305,3
256,機票,交通及通訊類,hot,25.12,30.8,4.34,0.184,0.575,5.36,0.13,0.732,0
257,其他運費(宅急便、一般貨運、機車托運等),交通及通訊類,hot,19.37,19.37,0.0,0.0,1.0,0.73,4.47,0.932,0
258,郵資,交通及通訊類,hot,45.23,46.21,0.67,0.021,0.683,6.52,0.0,0.482,2
259,網際網路費,交通及通訊類,falling,-21.72,0.0,21.72,0.0,0.0,1.25,-0.75,0.971,3
260,行動通訊費,交通及通訊類,falling,-17.31,0.0,17.31,0.0,0.0,1.38,-1.41,0.793,3
261,固網電話費,交通及通訊類,falling,-0.18,0.0,0.18,0.0,0.0,0.35,0.1,0.27,3
262,其他電訊服務費(手機維修費、網路設定費等),交通及通訊類,falling,-0.81,0.3,1.1,1.5,0.908,0.62,-1.08,0.102,4
263,汽、機車輪胎,交通及通訊類,normal,2.93,5.32,2.27,0.449,0.775,1.3,-1.05,0.435,0
264,汽、機車零配件(不含輪胎),交通及通訊類,normal,10.19,10.19,0.0,0.0,1.0,0.76,1.54,0.943,0
265,汽車保養及修理,交通及通訊類,hot,38.31,38.31,0.0,0.0,1.0,0.99,5.64,0.929,2
266,機(自行)車修理費,交通及通訊類,hot,22.67,22.67,0.0,0.0,1.0,1.06,2.39,0.946,0
267,停車費,交通及通訊類,hot,28.31,28.31,0.0,0.0,1.0,1.19,1.91,0.92,0
268,車輛通行費,交通及通訊類,falling,-0.1,0.52,0.62,1.2,0.867,1.14,-0.6,0.136,4
269,車輛檢驗費,交通及通訊類,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
270,其他(拋錨拖吊費、租車費、駕照費等),交通及通訊類,normal,6.39,6.39,0.0,0.0,1.0,1.01,0.99,0.643,0
271,醫院掛號費,醫藥保健類,hot,30.11,30.11,0.0,0.0,1.0,0.84,4.33,0.966,0
272,診所掛號費,醫藥保健類,hot,60.7,60.7,0.0,0.0,1.0,2.05,4.11,0.904,2
273,門診基本部分負擔,醫藥保健類,normal,9.81,9.81,0.0,0.0,1.0,0.83,0.51,0.786,0
274,病房自付費,醫藥保健類,hot,30.16,30.16,0.0,0.0,1.0,0.95,4.07,0.953,0
275,其他自付費(處方藥品自付費、手術費及檢驗費等),醫藥保健類,normal,12.49,12.98,0.44,0.038,0.8,1.42,-0.13,0.795,0
276,假牙及矯正費,醫藥保健類,normal,11.77,11.77,0.0,0.0,1.0,0.53,0.44,0.948,0
277,醫療看護費,醫藥保健類,hot,23.03,23.03,0.0,0.0,1.0,1.28,2.84,0.931,0
278,其他醫療費(民俗及美容醫療等健保不給付之醫療項目),醫藥保健類,normal,8.47,8.47,0.0,0.0,1.0,0.62,2.33,0.64,0
279,中藥材,醫藥保健類,hot,26.11,28.11,1.56,0.071,0.883,1.68,-1.42,0.84,0
280,中式成藥及方劑,醫藥保健類,hot,18.89,18.89,0.0,0.0,1.0,1.01,2.63,0.738,0
281,感冒藥,醫藥保健類,normal,14.68,14.68,0.0,0.0,1.0,0.7,1.53,0.948,0
282,胃腸藥,醫藥保健類,hot,31.69,31.69,0.0,0.0,1.0,1.94,3.8,0.872,0
283,外用藥,醫藥保健類,hot,23.51,23.51,0.0,0.0,1.0,1.11,2.77,0.945,0
284,維他命,醫藥保健類,normal,10.19,10.81,0.56,0.058,0.942,1.36,0.52,0.869,0
285,燕窩、雞精,醫藥保健類,normal,5.94,6.14,0.19,0.032,0.983,1.42,0.74,0.802,0
286,其他藥品(止痛藥、藥用葡萄糖胺等),醫藥保健類,normal,10.33,10.33,0.0,0.0,1.0,0.66,0.38,0.981,0
287,其他保健食品(卵磷脂、蜆精、酵母粉等),醫藥保健類,falling,-0.06,1.57,1.6,1.039,0.125,1.06,-0.08,0.115,4
288,一般眼鏡,醫藥保健類,normal,0.24,0.24,0.0,0.0,1.0,1.25,4.82,0.262,0
289,隱形眼鏡,醫藥保健類,normal,4.89,5.52,0.59,0.113,0.85,1.61,0.6,0.407,0
290,復健器具,醫藥保健類,hot,15.78,15.78,0.0,0.0,1.0,1.02,0.95,0.866,0
291,其他醫療保健用品(耳溫槍、眼鏡清潔劑等),醫藥保健類,normal,4.83,4.83,0.0,0.0,1.0,0.77,1.8,0.871,0
292,教科書,教養娛樂類,hot,35.81,35.81,0.0,0.0,1.0,0.91,3.64,0.922,0
293,考試用書及參考書,教養娛樂類,normal,12.51,12.51,0.0,0.0,1.0,0.52,2.14,0.959,0
294,一般書籍,教養娛樂類,normal,2.6,2.84,0.24,0.087,0.967,0.71,0.45,0.956,0
295,報紙,教養娛樂類,normal,4.22,4.22,0.0,0.0,0.35,0.69,0.0,0.68,3
296,期刊,教養娛樂類,normal,10.91,10.91,0.0,0.0,1.0,0.61,2.16,0.952,0
297,公立幼兒園學雜費,教養娛樂類,normal,0.87,0.87,0.0,0.0,1.0,0.09,0.16,0.882,0
298,私立幼兒園學雜費,教養娛樂類,hot,23.89,23.89,0.0,0.0,1.0,0.88,1.55,0.975,0
299,小學學雜費,教養娛樂類,normal,4.35,4.35,0.0,0.0,1.0,0.36,0.18,0.882,0
300,國中學雜費,教養娛樂類,normal,8.06,8.06,0.0,0.0,1.0,0.55,1.74,0.826,0
301,公立高中高職學雜費,教養娛樂類,normal,5.64,5.65,0.01,0.002,0.217,0.91,-0.01,0.472,3
302,私立高中高職學雜費,教養娛樂類,normal,5.09,5.09,0.0,0.0,1.0,0.34,0.8,0.864,0
303,公立大專學雜費,教養娛樂類,normal,0.96,0.96,0.0,0.0,1.0,0.06,0.17,0.921,0
304,私立大專學雜費,教養娛樂類,normal,0.36,0.36,0.0,0.0,1.0,0.03,0.06,0.791,0
305,安親課輔費,教養娛樂類,hot,18.17,18.17,0.0,0.0,1.0,0.76,1.65,0.874,0
306,國中課業補習費,教養娛樂類,hot,20.85,20.85,0.0,0.0,1.0,1.0,3.28,0.834,0
307,高中以上課業補習費,教養娛樂類,hot,28.41,28.41,0.0,0.0,1.0,0.72,2.97,0.956,0
308,語言學習費,教養娛樂類,hot,27.54,27.54,0.0,0.0,1.0,1.24,1.98,0.976,0
309,電腦學習費,教養娛樂類,hot,19.29,19.29,0.0,0.0,1.0,0.84,3.88,0.874,0
310,其他補習費,教養娛樂類,normal,7.12,7.15,0.03,0.005,0.983,0.79,0.68,0.608,0
311,電腦,教養娛樂類,falling,-14.57,0.0,14.57,0.0,0.0,1.57,1.94,0.94,3
312,其他電腦設備及軟體,教養娛樂類,normal,7.3,7.3,0.0,0.0,1.0,2.53,5.53,0.013,0
313,消耗性電腦器材,教養娛樂類,hot,27.48,27.48,0.0,0.0,1.0,1.26,3.47,0.904,0
314,紙製品,教養娛樂類,hot,15.9,15.9,0.0,0.0,1.0,0.73,1.0,0.979,0
315,其他文具(筆、釘書機等),教養娛樂類,normal,14.34,14.34,0.0,0.0,1.0,0.93,0.26,0.903,0
316,家用音響產品及影碟機,教養娛樂類,normal,7.26,7.26,0.0,0.0,1.0,1.07,0.86,0.798,0
317,電視機,教養娛樂類,falling,-38.09,0.0,38.09,0.0,0.0,2.34,-4.7,0.931,3
318,樂器,教養娛樂類,normal,11.04,11.09,0.04,0.004,0.908,0.86,-0.02,0.844,0
